current_node_accs	current_node_id	current_node_param_string	is_gt	parent_accs	parent_node_id	parent_node_param_string
[0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058]	24	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=4	True	[0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686]	0	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=categorical_crossentropy,lr=0.001,optimizer=adam,unit1=4
[0.4266666700442632, 0.4266666700442632, 0.4200000032782555, 0.4266666700442632, 0.4266666700442632, 0.4266666700442632, 0.4266666700442632, 0.4266666700442632, 0.4266666700442632, 0.4266666700442632]	6	act1=relu,act2=sigmoid,batch_size=5,bi1=random_normal,epochs=200,ki1=normal,loss=categorical_crossentropy,lr=0.001,optimizer=adam,unit1=4	False	[0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686]	0	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=categorical_crossentropy,lr=0.001,optimizer=adam,unit1=4
[0.4066666717330614, 0.4066666717330614, 0.4066666717330614, 0.4066666717330614, 0.4066666717330614, 0.4066666717330614, 0.4066666717330614, 0.4066666717330614, 0.4066666717330614, 0.4066666717330614]	21	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=categorical_hinge,lr=0.001,optimizer=adam,unit1=4	False	[0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686]	0	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=categorical_crossentropy,lr=0.001,optimizer=adam,unit1=4
[0.39333334416151045, 0.39333334416151045, 0.39333334416151045, 0.39333334416151045, 0.39333334416151045, 0.39333334416151045, 0.39333334416151045, 0.39333334416151045, 0.39333334416151045, 0.39333334416151045]	35	act1=relu,act2=sigmoid,batch_size=32,bi1=zeros,epochs=200,ki1=normal,loss=categorical_crossentropy,lr=0.001,optimizer=adam,unit1=4	False	[0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686]	0	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=categorical_crossentropy,lr=0.001,optimizer=adam,unit1=4
[0.3933333377043406, 0.3866666714350383, 0.3866666714350383, 0.3866666714350383, 0.3866666714350383, 0.3866666714350383, 0.3866666714350383, 0.3866666714350383, 0.3866666714350383, 0.3866666714350383]	19	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=squared_hinge,lr=0.001,optimizer=adam,unit1=4	False	[0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686, 0.3266666705409686]	0	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=categorical_crossentropy,lr=0.001,optimizer=adam,unit1=4
[0.5444444564481576, 0.5400000102818012, 0.5422222323715686, 0.5422222323715686, 0.5422222323715686, 0.5422222323715686, 0.5422222323715686, 0.5400000102818012, 0.5422222323715686, 0.5422222323715686]	41	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=glorot_normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=4	True	[0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058]	24	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=4
[0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058]	42	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=random_normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=4	True	[0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058]	24	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=4
[0.6533333490292231, 0.6533333490292231, 0.6533333490292231, 0.6533333490292231, 0.6533333490292231, 0.6533333490292231, 0.6533333490292231, 0.6533333490292231, 0.6533333490292231, 0.6533333490292231]	43	act1=relu,act2=sigmoid,batch_size=5,bi1=he_normal,epochs=200,ki1=normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=4	True	[0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058]	24	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=4
[0.6688889066378275, 0.6688889066378275, 0.6688889066378275, 0.6688889066378275, 0.6688889066378275, 0.6688889066378275, 0.6688889066378275, 0.6688889066378275, 0.6688889066378275, 0.6688889066378275]	44	act1=relu,act2=sigmoid,batch_size=5,bi1=glorot_normal,epochs=200,ki1=normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=4	True	[0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058]	24	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=4
[0.6555555740992227, 0.6577777961889902, 0.6555555740992227, 0.6555555740992227, 0.6555555740992227, 0.6555555740992227, 0.6555555740992227, 0.6555555740992227, 0.6555555740992227, 0.6555555740992227]	46	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=8	True	[0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058, 0.6711111297210058]	24	act1=relu,act2=sigmoid,batch_size=5,bi1=zeros,epochs=200,ki1=normal,loss=binary_crossentropy,lr=0.001,optimizer=adam,unit1=4
