issue,DFD_AJS_OLD,DSD_AJS_NEW,DD_AJS_OLD,DD_AJS_NEW,NL_AJS_OLD,NL_AJS_NEW,UM_AJS_OLD,UM_AJS_NEW
48594888,0,0,0,0,0,0,0,0
50306988,0.5,1.0,0,0,0,0,0,0
48385830,0,0,0.333333333,0.33,0.333333333,1.0,0.666666667,1.0
45442843,0.2,1.0,0,0,0.4,0.5,0,0
56380303,1,0.5,0,0,0,0,0,0
51181393,0,0.5,0,0,0,0,0,0
31880720,1,1.0,0,0.5,0,0.5,0,0
