issue,DFD_AJS_OLD,DSD_AJS_NEW,DD_AJS_OLD,DD_AJS_NEW,NL_AJS_OLD,NL_AJS_NEW,UM_AJS_OLD,UM_AJS_NEW
C3,0,1.0,0,0,1,0,0,0
C1,1,1.0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0
