issue,GT_ID,GT,LEN_GT,DFD_RES,DSD_MATCH,DFD_MATCH_CNT,DFD_AJS,DD_RES,DD_MATCH,DD_MATCH_CNT,DD_AJS,NL_RES,NL_MATCH,NL_MATCH_CNT,NL_AJS,UM_RES,UM_MATCH,UM_MATCH_CNT,UM_AJS
C3,138,['optimizer'],1,"['optimizer', 'act', 'loss', 'epochs']",1 | ,1,1.0,[],0 | ,0,0.0,['k4'],0 | ,0,0.0,[],0 | ,0,0.0
C3,222,"['ki2', 'optimizer']",2,"['optimizer', 'act', 'loss', 'epochs']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,['k4'],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C3,221,"['ki2', 'optimizer']",2,"['optimizer', 'act', 'loss', 'epochs']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,['k4'],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C3,180,"['act4', 'ki2']",2,"['optimizer', 'act', 'loss', 'epochs']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0.0,['k4'],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C3,228,"['batch_size', 'ki2']",2,"['optimizer', 'act', 'loss', 'epochs']",0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,['k4'],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C3,245,"['ki2', 'unit1']",2,"['optimizer', 'act', 'loss', 'epochs']",0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,['k4'],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C3,304,"['ki2', 'optimizer']",2,"['optimizer', 'act', 'loss', 'epochs']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,['k4'],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C3,305,"['ki2', 'optimizer']",2,"['optimizer', 'act', 'loss', 'epochs']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,['k4'],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C3,263,"['act4', 'ki2']",2,"['optimizer', 'act', 'loss', 'epochs']",1 | 0 | ,1,0.5,[],0 | 0 | ,0,0.0,['k4'],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C3,328,"['ki2', 'unit1']",2,"['optimizer', 'act', 'loss', 'epochs']",0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,['k4'],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,140,['optimizer'],1,"['optimizer', 'lr', 'act', 'loss']",1 | ,1,1.0,[],0 | ,0,0.0,[],0 | ,0,0.0,[],0 | ,0,0.0
C1,139,['optimizer'],1,"['optimizer', 'lr', 'act', 'loss']",1 | ,1,1.0,[],0 | ,0,0.0,[],0 | ,0,0.0,[],0 | ,0,0.0
C1,163,['unit1'],1,"['optimizer', 'lr', 'act', 'loss']",0 | ,0,0.0,[],0 | ,0,0.0,[],0 | ,0,0.0,[],0 | ,0,0.0
C1,146,['batch_size'],1,"['optimizer', 'lr', 'act', 'loss']",0 | ,0,0.0,[],0 | ,0,0.0,[],0 | ,0,0.0,[],0 | ,0,0.0
C1,132,['bi5'],1,"['optimizer', 'lr', 'act', 'loss']",0 | ,0,0.0,[],0 | ,0,0.0,[],0 | ,0,0.0,[],0 | ,0,0.0
C1,506,"['act3', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",1 | 1 | ,2,1.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,508,"['act4', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",1 | 1 | ,2,1.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,511,"['act5', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",1 | 1 | ,2,1.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,516,"['act6', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",1 | 1 | ,2,1.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,519,"['ki1', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,524,"['ki2', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,527,"['bi2', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,528,"['bi2', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,529,"['ki3', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,530,"['ki3', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,531,"['ki3', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,532,"['bi3', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,533,"['bi3', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,534,"['bi3', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,535,"['ki4', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,536,"['ki4', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,538,"['bi4', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,541,"['ki5', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,542,"['ki5', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,543,"['ki5', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,544,"['bi5', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,546,"['bi5', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
C1,547,"['ki6', 'optimizer']",2,"['optimizer', 'lr', 'act', 'loss']",0 | 1 | ,1,0.5,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0,[],0 | 0 | ,0,0.0
