M1,0,HLR,lr,
M2,1,ACH(7) | HLR,act4,lr
M3,0,,,
R1,0,,,
R2,1,ACH(2),act2,
R3,1,HLR,lr,
R4,0,,,
R5,0,,,
R6,0,,,
R7,1,ACH(2),act2,
