31880720,0,LCH,loss,,
41600519,0,,,,
45442843,0.4,ACH(2) | LCH | LCN(0),act2,loss,unit1
48385830,0.333333333,"ACH(0) | BCI(0,1)",act1,bi1,bi2
48594888,0,LCF(0),filter1,,
50306988,0,,,,
51181393,0,,,,
56380303,0,,,,
59325381,0,"ACH(0) | LCN(2,3)",act1,,
